ID,Area,Capability,Actor,Story,Expected behavior from code,Interface / entrypoint,Source,Test method,Status,Defects,Defect type,Actual result,Notes / open questions
DEV-007,Developer workflow,MCP and data-location helpers,Developer/operator,As a developer I want convenient MCP startup and location guidance.,make run-mcp first builds then runs './chronicle mcp'; make dev-db prints default data and config paths plus override/setup guidance.,make run-mcp; make dev-db,"Makefile:run-mcp,dev-db",MCP smoke via controlled stdin; target stdout assertion,Verified,-,-,Loop 2 re-test: disposable current-worktree Make execution exercised this target successfully with real artifacts/services and cleaned all temporary state.,dev-db labels a generic data location rather than a database-only path.
DEV-008,Developer workflow,Composite development and CI targets,Developer,As a developer I want one command for local quality gates.,make dev runs fmt→lint→test→build. make ci runs fmt→lint→test→integration-test. Each stops on first failed prerequisite.,make dev; make ci,"Makefile:dev,ci",Target execution with full output/exit capture,Verified,-,-,"Loop 1 re-test: make ci exited 0 under both go1.24.11 and the normal local Go driver; formatting, lint (0 issues), full tests, build, and real MCP healthy/failure probes passed.",make ci mutates formatting and builds through integration-test's build prerequisite.
DEV-009,Developer workflow,MCP integration target,Developer,As a developer I want the MCP server smoke-tested after a build.,"make integration-test builds and runs test_mcp.sh. The script isolates HOME/XDG state, holds stdio open with a FIFO, requires a healthy server to remain alive, then creates a real invalid config path and requires startup to fail nonzero with the expected root error; cleanup closes the descriptor, stops any child, and removes temp state.",make integration-test; ./test_mcp.sh,Makefile:integration-test; test_mcp.sh,Execute script plus built-in adversarial startup validation,Verified,-,-,"Loop 1 re-test: script exited 0 twice after healthy and invalid-config probes; shellcheck/shfmt/bash -n passed; sentinel caller HOME/XDG remained untouched and no child/FIFO/temp state survived.",Fresh review caught caller-state leakage in the first fix; final script confines both probes to disposable real state.
DEV-010,Developer workflow,Standalone CLI end-to-end script,Developer,As a developer I want major CLI flows exercised against isolated real state.,"test_integration.sh builds, isolates HOME/XDG, exercises add, shorthand, list, text/tag search, lowercase JSON fields, and project logging, and exits on assertion failure with cleanup.",./test_integration.sh,test_integration.sh,Execute shell system suite and capture all output,Verified,-,-,Loop 1 re-test: bash test_integration.sh exited 0 with all seven real CLI/filesystem scenarios passing; shellcheck/shfmt/bash -n passed.,This stronger CLI suite is not invoked by any Make target or CI workflow.
DEV-011,Developer workflow,Pre-commit quality gate,Contributor,"As a contributor I want formatting, dependency, lint, test, and vet checks before commits.","Pre-commit runs trailing-whitespace and EOF fixes, YAML/large-file/merge/case-conflict checks, mixed-line-ending normalization, gofmt, goimports, go mod tidy, golangci-lint --fix, one filename-independent `go test -race -count=1 -timeout=60s ./...` invocation, and go vet.",pre-commit run --all-files,.pre-commit-config.yaml,Execute all hooks and capture pristine output,Verified,-,-,Post-merge fix: verbose pre-commit exited 0 with exactly one go-unit-tests invocation; the full uncached race suite finished in 22.27 seconds and every other hook passed.,The local test hook replaces a third-party wrapper that ignored configured arguments and reran a hardcoded 30-second short suite in filename batches; no bypass flags are used.
DEV-012,Developer workflow,Make phony declarations,Developer,As a developer I want command-like Make targets to run even when same-named files exist.,All 14 command targets are declared .PHONY so same-named filesystem entries never suppress their recipes.,All Make command targets,Makefile:.PHONY and target declarations,Disposable-copy sentinel-file Make matrix,Verified,-,-,Loop 1 re-test: sentinel files for every target still produced RECIPE-RUN behavior; the five formerly omitted targets were no longer suppressed.,The declaration now covers help through ci.
CI-001,Continuous integration,GitHub test and coverage job,Maintainer,As a maintainer I want pushes and PRs tested with the repository's declared Go toolchain.,"The test job uses actions/setup-go v6 with go-version-file=go.mod so the toolchain directive governs execution; it downloads modules, runs short race tests, generates atomic coverage once, and uploads coverage non-fatally.",GitHub Actions CI test job,.github/workflows/ci.yml:test; go.mod,Exact local/Linux coverage parity plus hosted rerun,Tested-Pass,-,-,"Post-fix: the exact short atomic-coverage command passed every package locally and in Linux runtime; logging reached 100%, the EFBIG subprocess passed ten repetitions, and full race/lint/vet gates passed.",Hosted run 29139145183 exposed the resource-limit leak; promotion to Verified awaits a successful rerun after this fix is pushed.
CI-002,Continuous integration,GitHub lint job,Maintainer,As a maintainer I want configured lint enforced on changes.,CI lint uses actions/setup-go v6 with go-version-file=go.mod and golangci-lint-action v7 with golangci-lint v2.7.2 plus a 10-minute timeout.,GitHub Actions CI lint job,.github/workflows/ci.yml:lint; .golangci.yml,Hosted GitHub Actions lint execution,Verified,-,-,Hosted run 29139145183: the Linux lint job completed successfully in 1m0s with the configured action and Go toolchain.,GitHub emitted a non-failing Node 20 deprecation annotation for current major-version actions.
CI-003,Continuous integration,GitHub build and help smoke,Maintainer,As a maintainer I want a Linux binary built and minimally executed.,"CI build compiles ./chronicle, runs './chronicle --help', and uploads the binary artifact for seven days.",GitHub Actions CI build job,.github/workflows/ci.yml:build,Hosted GitHub Actions build/help/artifact execution,Verified,-,-,Hosted run 29139145183: Linux build and --help verification passed and the binary artifact uploaded; job completed successfully in 40s.,Only the hosted runner architecture is built; GitHub emitted a non-failing Node 20 deprecation annotation.
REL-001,Release workflow,Tagged cross-platform binaries,Maintainer,As a maintainer I want v* tags to produce Darwin/Linux amd64/arm64 binaries.,"Release workflow builds four named binaries with trimpath/stripped ldflags and CGO_ENABLED=1, using a cross-compiler for Linux arm64, then uploads one-day artifacts.",GitHub Actions Release build jobs,".github/workflows/release.yml:build-darwin,build-linux",Static workflow validation; local native build only,Tested-Pass,-,-,"Loop 1: workflow/config statically checked; local native build passed, but external publication/cross-runner execution was not performed.",Full cross-OS execution requires GitHub runners/toolchains.
REL-002,Release workflow,GitHub release archives,Maintainer,As a maintainer I want tagged binaries archived and published.,"Release inputs are transported through environment variables; before publication, the job requires a tap token and validates TAG_NAME as strict v-prefixed SemVer. The release job downloads build artifacts, archives each binary, and uses GITHUB_TOKEN with quoted TAG_NAME for gh release create, generated notes, and all archives.",GitHub Actions Release release job,.github/workflows/release.yml:release,Executable workflow-policy/security tests and actionlint,Verified,-,-,"Phase B post-fix: the test executed the actual preflight shell, accepted 11 valid SemVer tags, rejected 17 malformed/injection tags plus missing token, and proved no github.ref_name expression appears inside run scripts; policy race and actionlint passed.",No GitHub release was published; configuration security is statically and locally executable without external writes.
REL-003,Release workflow,Homebrew tap update,Maintainer/Homebrew user,As a maintainer I want the release reflected in a single canonical tap mechanism.,"After preflight requires the tap token and valid tag, the workflow downloads arm64/amd64 archives, computes SHA-256 values, generates the canonical Casks/chronicle.rb with architecture-specific URLs, clones the tap using gh credentials, and commits/pushes without conditional skips or masked failures. GoReleaser is also Cask-only.",GitHub Actions Update Homebrew Tap step; GoReleaser homebrew_casks,.github/workflows/release.yml; .goreleaser.yml,Workflow-policy/actionlint/GoReleaser/Cask syntax validation,Tested-Pass,-,-,Phase B post-fix: Cask-only policy tests passed; generated Cask Ruby syntax was valid; actionlint and goreleaser check exited 0; missing token and invalid tag preflight cases failed before publication.,An authenticated clone/commit/push and hosted release were intentionally not executed; external tap publication remains the verification boundary.
REL-004,Release workflow,GoReleaser snapshot/release target,Maintainer,As a maintainer I want a local release-build path.,"make release runs goreleaser release --snapshot --clean; GoReleaser v2 tidies/tests, builds Darwin/Linux amd64/arm64 with CGO, archives documentation globs, and declares GitHub plus Homebrew Cask publication metadata with the chronicle binary.",make release; .goreleaser.yml,Makefile:release; .goreleaser.yml,GoReleaser check plus snapshot where host toolchain permits,Tested-Pass,macOS host cannot compile the Linux/arm64 CGO target.,Environment,"Loop 1 re-test: goreleaser check exited 0 with one validated config; snapshot reached compilation then exited 1 at linux_arm64 because macOS Clang lacks Linux setresgid/setresuid declarations.",Deprecated brews/Formula-only fields are removed; full snapshot needs suitable cross-CGO compilers/SDKs or per-OS runners and no publication was attempted.
REL-005,Release workflow,Workflow token permissions,Repository operator,As a repository operator I want release jobs to receive only the token permissions they require.,The workflow defaults to contents:read; only the release publication job receives contents:write. Build jobs remain read-only and no packages permission is granted.,GitHub Actions Release permissions,.github/workflows/release.yml:permissions,Executable workflow-policy test and actionlint,Verified,-,-,Phase B post-fix policy tests parsed the workflow and proved global read-only permission plus release-job-only contents write with no packages write; actionlint exited 0.,The Homebrew tap uses its separate repository token only after input preflight.
